,label1,centroid0,centroid1,area,minoraxislength,majoraxislength,eccentricity,minintensity,maxintensity,meanintensity,feretdiametermax,bbox01,bbox11,bbox21,bbox31,meanintensityfrangi,minintensityfrangi,maxintensityfrangi,type,lblpred1,label2,lblpred2,bbox02,bbox12,bbox22,bbox32,lblpred,plate,well,ImageNumber
82,114,3609.868571428572,4870.362857142857,700,18.575583084379623,50.58508087324622,0.9301362245570682,4620,8940,7224.4971428571425,50.35871324805669,3587,4861,3637,4881,0.0125115487285255,0,0,RES,P,32.0,P,3587.0,4861.0,3637.0,4881.0,P,F3,1,1
83,115,4453.673565380997,2262.826904985889,1063,18.21682497024413,84.09808484346216,0.9762573239354762,5059,8914,7015.1326434619,78.39005038906404,4435,2229,4478,2297,0.0059473494237849,0,0,RES,N,33.0,P,4435.0,2229.0,4478.0,2344.0,P,F3,1,1
84,116,4445.393148450245,2317.5269168026102,613,16.045807022628477,53.02978750998977,0.953123668945745,5275,8716,6977.554649265905,48.83646178829912,4436,2296,4454,2344,0.0045356391694628,0,0,RES,N,33.0,P,4435.0,2229.0,4478.0,2344.0,N,F3,1,1
0,3,179.32584269662922,1856.732584269663,445,16.639743657294296,37.066439276889085,0.8935736092207923,5724,8185,7309.451685393258,35.84689665786984,168,1843,193,1874,0.0,0,0,RES,N,2.0,N,168.0,1761.0,302.0,1902.0,N,B3,1,7
1,4,185.78411910669976,2427.9875930521093,806,25.67192804313443,45.81780191353105,0.8282865959598124,1873,7479,5498.358560794045,47.16990566028302,163,2409,204,2445,0.0366498957219504,0,0,RES,P,1.0,P,163.0,2409.0,204.0,2445.0,P,B3,1,7
2,5,190.3450704225352,1825.130281690141,568,18.05167728619266,43.05207687523339,0.9078483631263528,4526,7467,5901.820422535211,43.01162633521314,178,1802,201,1843,0.0004316398228617,0,0,RES,N,2.0,N,168.0,1761.0,302.0,1902.0,N,B3,1,7
3,6,193.6552083333333,1879.7125,960,26.83140192250525,46.01124431605682,0.8123653591375963,4125,7900,6068.578125,47.67598976424087,181,1855,209,1902,0.0089658649130204,0,0,RES,P,2.0,N,168.0,1761.0,302.0,1902.0,P,B3,1,7
4,7,210.3510054844607,1841.677635588056,1641,29.577058536535365,82.07321947795138,0.9328078814868944,3175,8031,5249.652041438148,77.23341245859851,193,1804,226,1881,0.0071538296742087,0,0,RES,P,2.0,N,168.0,1761.0,302.0,1902.0,P,B3,1,7
5,8,224.39598278335723,1787.3314203730272,697,22.91708395007026,40.14391386462359,0.8210382494795891,3744,8408,5730.0272596843615,38.897300677553446,213,1768,238,1805,0.0103298518028967,0,0,RES,P,2.0,N,168.0,1761.0,302.0,1902.0,P,B3,1,7
6,9,231.28304821150851,1828.8351477449453,643,22.55022012312295,42.795377056546,0.8499079316817734,3497,8291,5406.847589424572,43.01162633521314,219,1805,247,1847,0.0042076776161206,0,0,RES,N,2.0,N,168.0,1761.0,302.0,1902.0,N,B3,1,7
